Date,Product,Region,Units_Sold,Unit_Price
2025-01-01,Laptop,North,12,55000
2025-01-02,Mobile,South,25,18000
2025-01-03,Tablet,East,18,22000
2025-01-04,Laptop,West,10,55000
2025-01-05,Mobile,North,30,18000
2025-01-06,Tablet,South,15,22000
2025-01-07,Laptop,East,8,55000
2025-01-08,Mobile,West,40,18000
2025-01-09,Tablet,North,20,22000
2025-01-10,Laptop,South,14,55000
2025-01-11,Mobile,East,35,18000
2025-01-12,Tablet,West,12,22000
2025-01-13,Laptop,North,16,55000
2025-01-14,Mobile,South,28,18000
2025-01-15,Tablet,East,22,22000
2025-01-16,Laptop,West,11,55000
2025-01-17,Mobile,North,32,18000
2025-01-18,Tablet,South,17,22000
2025-01-19,Laptop,East,9,55000
2025-01-20,Mobile,West,45,18000
2025-01-21,Tablet,North,19,22000
2025-01-22,Laptop,South,13,55000
2025-01-23,Mobile,East,38,18000
2025-01-24,Tablet,West,14,22000
2025-01-25,Laptop,North,15,55000
2025-01-26,Mobile,South,27,18000
2025-01-27,Tablet,East,21,22000
2025-01-28,Laptop,West,12,55000
2025-01-29,Mobile,North,34,18000
2025-01-30,Tablet,South,16,22000
